Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
206,1,1,2,2,1,1,Very Nice Ambience And A Beautiful place Sure Great,India,18,16753,FALSE,FALSE,FALSE,FALSE
207,2,1,1,1,1,1,Keep It Up,India,20,13549,FALSE,FALSE,FALSE,FALSE
208,2,2,3,1,1,1,Very Nice Food Only The Noam Was A Bit Hard,India,27,5634,FALSE,FALSE,FALSE,FALSE
209,2,2,1,1,1,1,Over All Good ,India,6,11284,FALSE,FALSE,FALSE,TRUE
210,1,1,1,1,1,1,Very Good Food,India,47,12976,FALSE,FALSE,FALSE,TRUE
211,2,1,1,1,1,1,Chena Chicken Was Very Disappoint Today Too Salty And Only Chilly Count Be Tasted,India,41,6240,FALSE,FALSE,FALSE,FALSE
212,1,1,1,1,1,1,Very Nia Apiece Tasty Food,India,7,6227,FALSE,FALSE,FALSE,FALSE
213,1,1,1,2,2,1,Only We Had An Issue With The Soup It Was Too Salty,India,3,8186,FALSE,FALSE,FALSE,FALSE
214,1,1,1,1,1,1,Good Job,India,38,2935,FALSE,FALSE,FALSE,TRUE
215,3,3,2,3,3,2,Poor,India,16,14358,FALSE,FALSE,FALSE,FALSE
216,2,2,2,1,1,2,We Enjoy Coming To The Place,India,13,7089,FALSE,FALSE,FALSE,FALSE
217,1,1,1,1,1,1,Keep Up The Good Service,India,36,16978,FALSE,FALSE,FALSE,TRUE
218,1,1,1,1,1,2,Good Food As a Always,India,45,17489,FALSE,FALSE,FALSE,TRUE
219,1,1,1,1,1,1,I Am Regular Here And Come Back Because Everything Is Excellent,India,12,2536,TRUE,FALSE,FALSE,FALSE
220,1,1,1,1,1,1,Good And Excellent Food,India,13,12671,TRUE,FALSE,FALSE,TRUE
221,1,1,1,1,2,1,Good Food Good People Keep It Up!!,India,46,4291,FALSE,FALSE,FALSE,TRUE
222,3,3,2,2,3,2,"Food Was Not Good, She Was Saying About Chloe Is Too Salty. I All Ready Inform To Chef",India,48,8837,FALSE,FALSE,FALSE,TRUE
223,2,1,1,2,1,1,Maze Platter was Not Good At All.,India,9,12528,FALSE,FALSE,FALSE,TRUE
224,1,2,2,2,2,3,Gulag Jamul Is Huge Should Main The Curliness And In Size.,India,42,14985,FALSE,FALSE,FALSE,FALSE
225,1,1,1,1,1,1,Good To Be Here.,India,28,18277,FALSE,FALSE,FALSE,TRUE
226,2,2,2,2,2,2,No,India,4,10554,FALSE,FALSE,FALSE,FALSE
227,1,1,1,1,1,1,Good Service,India,13,18380,FALSE,FALSE,FALSE,TRUE
228,1,1,1,1,1,1,Very Good,India,22,17601,FALSE,FALSE,FALSE,TRUE
229,1,1,1,1,1,1,Compliments To Chef For Excellent Biryani And Chicken.,India,29,7635,TRUE,FALSE,FALSE,FALSE
230,1,1,1,1,1,1,Excellent Food,India,2,8661,TRUE,FALSE,FALSE,FALSE
231,1,1,1,1,1,1,Keep It This Way Only,India,1,19228,FALSE,FALSE,FALSE,FALSE
232,1,1,1,1,1,1,Excellent,India,12,3934,TRUE,FALSE,FALSE,FALSE
233,1,1,2,1,1,1,Inefficiency Of A/C Made Us To Sweat Than And Enjoy The Food.,India,26,1252,FALSE,FALSE,FALSE,FALSE
234,1,1,2,1,1,1,Good Food,India,5,12497,FALSE,FALSE,FALSE,TRUE
235,1,1,1,1,1,1,Very Good Evening And Experience.,India,15,3626,FALSE,FALSE,FALSE,TRUE
236,1,1,1,1,1,1,Everything Awesome,India,23,9323,FALSE,FALSE,TRUE,FALSE
237,1,1,1,1,1,1,Great,India,47,9604,FALSE,FALSE,FALSE,FALSE
238,1,1,2,1,1,1,Very Good,India,45,8935,FALSE,FALSE,FALSE,TRUE
